piece	type	name	cat	weight	img	x	y	z
bb57pb01	B	Windscreen, Motorcycle Windshield with 'POLICE' Pattern	579	0.2	http://www.bricklink.com/PL/bb57pb01	\N	\N	\N
bb76	B	Technic, Link Chain Large	138	0.56	http://www.bricklink.com/PL/bb76	\N	\N	\N
bb81c01	B	Electric, Connector, 2 Way male Squared Narrow Long, No Center Stud - Complete Assembly	735	\N	http://www.bricklink.com/PL/bb81c01	\N	\N	\N
bfloat2c01	B	Boat Hull Unitary 25 x 10 x 4 1/3 Complete Assembly	3	115	http://www.bricklink.com/PL/bfloat2c01	25	10	4.33
bfloat2c01pb02	B	Boat Hull Unitary 25 x 10 x 4 1/3 Complete Assembly with 4010 (Sides) and Police (Sides and Stern) Pattern (Stickers) - Set 4010	3	115	http://www.bricklink.com/PL/bfloat2c01pb02	25	10	4.33
bfloat3c01	B	Boat Hull Unitary 38 x 10 x 5 2/3 Complete Assembly	3	178	http://www.bricklink.com/PL/bfloat3c01	38	10	5.67
bfloat4c01	B	Boat Hull Unitary 52 x 12 x 6 1/3 Complete Assembly	3	277	http://www.bricklink.com/PL/bfloat4c01	52	12	6.33
bfloat4c01pb01	B	Boat Hull Unitary 52 x 12 x 6 1/3 Complete Assembly with Cargo Carrier Pattern (Stickers) - Set 4030	3	282	http://www.bricklink.com/PL/bfloat4c01pb01	52	12	6.33
bigcat01c01pb01	B	Duplo Lion Adult Female	420	33	http://www.bricklink.com/PL/bigcat01c01pb01	\N	\N	\N
buffer	B	Train Buffer Single	124	0.5	http://www.bricklink.com/PL/buffer	\N	\N	\N
dplane2	B	Duplo Airplane Small Wings on Bottom with Yellow Wheels and Yellow Propeller	640	48	http://www.bricklink.com/PL/dplane2	\N	\N	\N
dplane3	B	Duplo Airplane Small Wings on Bottom with Red Wheels and Red Propeller	640	48	http://www.bricklink.com/PL/dplane3	\N	\N	\N
decbase	B	Train, Track 12V Decoupler Base	128	18	http://www.bricklink.com/PL/decbase	15	14	1.33
dpumpc01	B	Duplo Gas Pump - Complete Assembly	167	26	http://www.bricklink.com/PL/dpumpc01	\N	\N	\N
dt001	B	Duplo, Toolo Tool Screwdriver	524	20	http://www.bricklink.com/PL/dt001	\N	\N	\N
dup003	B	Duplo Airplane Jetliner Engine with Small Blue Propeller, Complete Assembly	640	21.16	http://www.bricklink.com/PL/dup003	\N	\N	\N
dup005	B	Duplo Truck Base with Six Wheels and 2 x 10 Studs	488	91	http://www.bricklink.com/PL/dup005	\N	\N	\N
dupbedpb01	B	Duplo Furniture Bed 2 x 4 with Moon and Cloud Pattern	641	\N	http://www.bricklink.com/PL/dupbedpb01	\N	\N	\N
dupboat01	B	Duplo Boat with 12 Studs	639	\N	http://www.bricklink.com/PL/dupboat01	\N	\N	\N
dupboat01pb01	B	Duplo Boat with 12 Studs and Anchor Pattern	639	\N	http://www.bricklink.com/PL/dupboat01pb01	\N	\N	\N
dupboat03c01	B	Duplo Boat Hull 8 x 15 Deck Studs, Red Bottom	639	235	http://www.bricklink.com/PL/dupboat03c01	\N	\N	\N
dupcarbody01	B	Duplo Car Body Fire Pumper with Hose Pattern (fits over Car Base 2 x 6)	488	\N	http://www.bricklink.com/PL/dupcarbody01	\N	\N	\N
dupcarbody03	B	Duplo Car Body Grocery Truck with Dry Goods Pattern (fits over Car Base 2 x 6)	488	97	http://www.bricklink.com/PL/dupcarbody03	\N	\N	\N
