2012	1471	13320692	de	alexschnapper	Alex Schnapper	47132
2752	524	21582325	en	CameroonTV	CameroonTV	126867
1551	1476	201239044	de	Paqui080863	Katharina Nemayer	58777
63	101	1512452617	en	HannahinGermany	Hannah Heagy	64
20	0	1358940685	en	TenderFeed	TenderFeed	540
36	34	619133458	de	eichenbergk	Klaus Eichenberg	523
602	1996	447127983	es	mariocuadrado98	~Mãrîø Cůądřãdö~	5859
516	190	500095520	tr	BatuKarabiber	Batu Karabiber	12741
109	260	218712610	de	krizzy4peace	Môme en rose	7254
185	147	305498665	de	RolfMayer	Der eine Muck™	18349
1990	356	59212331	de	Osiander_Tweet	Osiander	4823
8	29	1161615919	de	MichaBrugger	Michael Brugger	56
36	156	28876895	tr	bilal_anelka_39	علي 	876
124	196	330289724	de	degprberatung	Dieter E. Gellermann	1492
508	376	271366724	es	AdriCabedo	Cabedo	8959
55	201	526465619	de	shafaqallail	Farina Borussia	278
1612	192	186581093	en	timesflow	Anthony	13774
1906	2071	569979488	de	beckenboden1	Christine Weismayer	31984
471	545	1314943586	de	unfall_heute	unfall heute	25507
3269	3165	22139494	de	Filmlandschaft	Filmlandschaft	2208
200	254	312244839	de	MervyKay	the urban nomad	355
82	130	336776704	de	PIE_Languages	Roland Schuhmann	391
7	23	1522322048	de	HagerMarisa	Marii Sa	197
519	652	348693135	de	gb_bw	gb_bw	24665
395	6	485628566	en	myvotefactor	Mentaphone	227263
4946	160	243133079	en	Rojname_com	Kurdish News Portal	559685
147	204	432827037	de	_NonBlonde_	S.	4295
56	78	578527923	es	flavia_osopanda	Flavia G.	99
303	19	24871607	en	Sudhaus	Sudhaus e.V.Tübingen	647
12702	743	32133817	de	BekoBBL	Beko BBL	13665
68	66	171905823	de	ottobuch	Otto Buchegger	381
883	1996	147608253	de	SchwabenWhisky	Schwäbischer Whisky	1140
10	5	20583104	de	attentra	attentra	33
232	404	29182657	en	KaiserinSchmoan	AncaBi	8660
37	62	268708548	de	kerouacfabio	fabio kerouac	830
72	256	1055028001	es	onavcia	Olga Navarro Cía	502
483	6	206113480	de	trainerlink	trainerlink	1780
18	7	539159243	de	JUTuebingen	JU Tübingen	283
41	216	706755277	de	sus_wolf	Susanne Wolf	558
162	195	36485845	es	rondaska	Sergio	8200
90	366	281592540	en	EngineerJobs_DE	Progressive DE - Eng	5907
261	892	258396893	de	dating_sex	Melanie Adam	54884
12767	13538	135930594	de	AddPublic	AddPublic Social Net	52410
445	221	251192035	tr	cennettekihuri	Seda Atahan	8360
45	297	768899816	de	SaEngelhardt	S. Engelhardt	774
613	600	489222890	de	luebberding	f.luebberding	8104
2828	929	49332979	de	TBBTrier	TBB Trier	6583
471	439	229221112	de	mittelrheinisch	Sven Damaschun	33952
81	72	20175615	de	jiacoma	Jacky	2957
232	391	268399379	en	healthtechtonya	Tonya Stewart	771
122	362	1479629599	de	BZV_Tuebingen	BzV Tübingen	730
253	146	21850913	de	Libbe_Kiel	Lisbeth Boris Hardel	10206
263	0	1432271658	de	FCH1846	1. FC Heidenheim	534
226	511	29956915	de	MaCheAhrens	MaChe 	18388
6	28	880687926	zh-cn	iITist_Steven	iITist	5235
6424	7006	385825598	en	SsantanuberaA	¤ Santanu Bera ¤	10614
31	82	1113805633	de	deckelmouck	deckelmouck	1170
220	79	789672776	de	_schakalakabum	Lisa.	4403
466	0	350890828	en	CompVisionNews	Computer Vision News	3902
93	125	929391074	de	DDtuebingen	DASDING Tübingen	313
2386	1985	1229454176	it	TravelsPhoto	TravelsPhoto	23658
113	173	65598306	de	mrMAT_	Matze	4037
66	346	493923178	de	Vol2Cat	Vol2Cat	319
164	3	156984177	en	Enterprise_IT	Enterprise_IT	7755
62	102	433929078	en	mupd943	Platas Boswell	37606
1911	228	22510457	de	kesseltv	Kessel.TV  	14641
34	0	1631236986	en	500pxFeatured	500px Feature Photos	8583
2103	2060	840581	en	jonk	Jonathan Khoo	119690
472	103	59790216	de	bauchklang	bauchklang	672
21	8	25379722	de	Schwimmschule	Kilian Wieczorek	735
94	139	234886028	de	bioinformatik	Bioinformatik Bingen	422
85	1	944651150	de	Sectio_live	Sectio chirurgica	125
330	235	150649748	de	Geisthoernchen	ɢᴇꜱᴩᴇɴꜱᴛᴇʀʜᴏᴇʀɴᴄʜᴇɴ	7923
98	0	522191765	de	BlitzerseiteRT	Blitzer Lk RT	4312
35	0	625824670	en	lgbtqGMH	LGBTQ* givesmehope	1247
24	79	144866207	de	muc335	nach dem Examen	112
53	146	404137456	de	ErhardWeigel	Erhard Weigel	731
15	46	65325987	en	mdrysch	M. Drysch	722
172	241	223253417	de	beatpoeten	Beatpoeten	1256
134	221	288863165	de	pbnetzwerk	pbnet	1448
84	115	111336382	es	kiko_miro	Kiko Miró	1649
15	63	736099266	de	versfabrik	sandra p. thurner	364
