764	Master Builder Academy
653	Matoran of Light
654	Matoran of Mahri Nui
655	Matoran of Mata Nui
656	Matoran of Metru Nui
657	Matoran of Voya Nui
513	Media Audio & Video
59	Mindstorms
481	Mini
20	Minifig, Body Part
142	Minifig, Body Wear
238	Minifig, Head
606	Minifig, Head, Modified
16	Minifig, Headgear
636	Minifig, Headgear Accessory
484	Minifig, Legs Assembly
418	Minifig, Shield
150	Minifig, Torso
485	Minifig, Torso Assembly
18	Minifig, Utensil
19	Minifig, Weapon
394	Minitalia
550	Mission Deep Freeze
549	Mission Deep Sea
658	Mistika
682	Model
432	Model Maker
60	Model Team
710	Modular Buildings
727	Modulex
729	Modulex, Brick
728	Modulex, Tile, Decorated
730	Modulex, Window
237	Monorail
781	Monster Fighters
433	Mosaic
504	Motor, Non-Electric
467	My Own Creation
694	My Own Train
284	Ninja
759	Ninjago
630	NXT
383	Off-Road
447	Office & School Supplies
699	Order of the Phoenix
475	Orient Expedition
495	Outback
91	Panel
461	Panel, Decorated
246	Paper
71	Paradisa
445	Patch & Pin
241	Pen
659	Phantoka
757	Pharaoh's Quest
521	Photo Frame & Holder
660	Piraka
61	Pirates
688	Pirates I
687	Pirates II
761	Pirates of the Caribbean
772	Planet Series 1
783	Planet Series 2
793	Planet Series 3
794	Planet Series 4
25	Plant
95	Plant, Tree
161	Plastic
26	Plate
27	Plate, Modified
28	Plate, Round
586	Play Wear & Weaponry
613	Playhouse
661	Playsets
512	Plush Toy
159	Pneumatic
323	Police
251	Post Office
472	Postcard
503	Poster
721	Power Functions
689	Power Miners
691	Power Racers
294	Primo
734	Prince of Persia
614	Princess Castle
697	Prisoner of Azkaban
30	Propeller
443	Puzzle
594	Puzzle Book
537	Quatro
598	Race
179	Racers
158	Radio Control
662	Rahaga
663	Rahi
664	Rahkshi
701	Raiders of the Lost Ark
324	Rattles
577	RC Train
631	RCX
686	Recreation
329	Res-Q
539	Retail Display
526	Retail Display Flag
225	Riding Cycle
98	Road Sign
307	RoboForce
384	RoboRiders
619	Robot
99	Rock
62	Rock Raiders
379	Roof
285	Royal Knights
229	Rubber Band & Belt
589	Safari
395	Samsonite
102	Scala
413	Scala, Figure Accessory
169	Sculptures
753	Series  1 Minifigures
754	Series  2 Minifigures
758	Series  3 Minifigures
760	Series  4 Minifigures
765	Series  5 Minifigures
770	Series  6 Minifigures
774	Series  7 Minifigures
784	Series  8 Minifigures
792	Series  9 Minifigures
796	Series 10 Minifigures
63	Service Packs
31	Slope
438	Slope, Curved
775	Slope, Curved, Decorated
33	Slope, Decorated
32	Slope, Inverted
776	Slope, Inverted, Decorated
224	Soccer
439	Soft Bricks
180	Software
695	Sorcerer's Stone
34	Space
308	Space Police I
309	Space Police II
713	Space Police III
